name,id,visitor_history,coordinates
Acadia National Park,Q337396,"[{'year': '1920', 'visitors': 66500}, {'year': '1930', 'visitors': 154734}, {'year': '1940', 'visitors': 382084}, {'year': '1950', 'visitors': 485220}, {'year': '1960', 'visitors': 1638200}, {'year': '1970', 'visitors': 2776300}, {'year': '1980', 'visitors': 2779666}, {'year': '1990', 'visitors': 2339591}, {'year': '2000', 'visitors': 2469238}, {'year': '2010', 'visitors': 2504208}, {'year': '2016', 'visitors': 3303393}, {'year': '2017', 'visitors': 3509271}, {'year': '2018', 'visitors': 3537575}, {'year': '2019', 'visitors': 3437286}, {'year': '2020', 'visitors': 2669034}]","{'longitude': -68.216666666, 'latitude': 44.35}"
Arches National Park,Q223969,"[{'year': '1930', 'visitors': 400}, {'year': '1940', 'visitors': 2512}, {'year': '1950', 'visitors': 16257}, {'year': '1960', 'visitors': 71600}, {'year': '1970', 'visitors': 178500}, {'year': '1980', 'visitors': 290519}, {'year': '1990', 'visitors': 620719}, {'year': '2000', 'visitors': 786429}, {'year': '2010', 'visitors': 1014405}, {'year': '2016', 'visitors': 1585718}, {'year': '2017', 'visitors': 1539028}, {'year': '2018', 'visitors': 1663557}, {'year': '2019', 'visitors': 1659702}, {'year': '2020', 'visitors': 1000000}, {'year': '2020', 'visitors': 1238083}]","{'longitude': -109.54, 'latitude': 38.728055555}"
Badlands National Park,Q306216,"[{'year': '1940', 'visitors': 181993}, {'year': '1950', 'visitors': 447654}, {'year': '1960', 'visitors': 878600}, {'year': '1970', 'visitors': 1303100}, {'year': '1980', 'visitors': 952652}, {'year': '1990', 'visitors': 1326475}, {'year': '2000', 'visitors': 1105824}, {'year': '2007', 'visitors': 886654}, {'year': '2010', 'visitors': 977778}, {'year': '2019', 'visitors': 970998}, {'year': '2020', 'visitors': 916932}]","{'longitude': -102.5, 'latitude': 43.75}"
Big Bend National Park,Q1427197,"[{'year': '1950', 'visitors': 70325}, {'year': '1960', 'visitors': 75900}, {'year': '1970', 'visitors': 172600}, {'year': '1980', 'visitors': 174008}, {'year': '1990', 'visitors': 257378}, {'year': '2000', 'visitors': 262320}, {'year': '2010', 'visitors': 372330}, {'year': '2016', 'visitors': 388290}, {'year': '2017', 'visitors': 440276}, {'year': '2018', 'visitors': 440091}, {'year': '2019', 'visitors': 463832}, {'year': '2020', 'visitors': 393907}]","{'longitude': -103.25, 'latitude': 29.25}"
Biscayne National Park,Q866080,"[{'year': '1980', 'visitors': 248071}, {'year': '1990', 'visitors': 573376}, {'year': '2000', 'visitors': 393151}, {'year': '2010', 'visitors': 467612}, {'year': '2019', 'visitors': 708522}, {'year': '2020', 'visitors': 402770}]","{'longitude': -80.18096924, 'latitude': 25.50185493}"
Black Canyon of the Gunnison National Park,Q305880,"[{'year': '1940', 'visitors': 19307}, {'year': '1950', 'visitors': 26487}, {'year': '1960', 'visitors': 122500}, {'year': '1970', 'visitors': 249000}, {'year': '1980', 'visitors': 336119}, {'year': '1990', 'visitors': 275323}, {'year': '2000', 'visitors': 191506}, {'year': '2010', 'visitors': 176344}, {'year': '2016', 'visitors': 238018}, {'year': '2017', 'visitors': 307143}, {'year': '2018', 'visitors': 308962}, {'year': '2019', 'visitors': 432818}, {'year': '2020', 'visitors': 341620}]","{'longitude': -107.716666666, 'latitude': 38.566666666}"
Bryce Canyon National Park,Q219562,"[{'year': '1930', 'visitors': 35982}, {'year': '1940', 'visitors': 103362}, {'year': '1950', 'visitors': 212976}, {'year': '1960', 'visitors': 272000}, {'year': '1970', 'visitors': 345900}, {'year': '1980', 'visitors': 571541}, {'year': '1990', 'visitors': 862659}, {'year': '2000', 'visitors': 1099275}, {'year': '2010', 'visitors': 1285492}, {'year': '2018', 'visitors': 2679478}, {'year': '2019', 'visitors': 2594904}, {'year': '2020', 'visitors': 1464655}]","{'longitude': -112.17, 'latitude': 37.64}"
Canyonlands National Park,Q541856,"[{'year': '1970', 'visitors': 33400}, {'year': '1980', 'visitors': 56505}, {'year': '1990', 'visitors': 276831}, {'year': '2000', 'visitors': 401558}, {'year': '2010', 'visitors': 435908}, {'year': '2016', 'visitors': 776218}, {'year': '2017', 'visitors': 742271}, {'year': '2018', 'visitors': 739449}, {'year': '2019', 'visitors': 733996}, {'year': '2020', 'visitors': 493914}]","{'longitude': -109.76, 'latitude': 38.1669}"
Capitol Reef National Park,Q129902,"[{'year': '1940', 'visitors': 2000}, {'year': '1950', 'visitors': 3066}, {'year': '1960', 'visitors': 102500}, {'year': '1970', 'visitors': 225900}, {'year': '1980', 'visitors': 342788}, {'year': '1990', 'visitors': 562477}, {'year': '2000', 'visitors': 612656}, {'year': '2010', 'visitors': 662661}, {'year': '2016', 'visitors': 1064904}, {'year': '2017', 'visitors': 1150165}, {'year': '2018', 'visitors': 1227627}, {'year': '2019', 'visitors': 1226519}, {'year': '2020', 'visitors': 981038}]","{'longitude': -111.167, 'latitude': 38.2}"
Carlsbad Caverns National Park,Q273195,"[{'year': '1930', 'visitors': 90104}, {'year': '1940', 'visitors': 236653}, {'year': '1950', 'visitors': 467283}, {'year': '1960', 'visitors': 537000}, {'year': '1970', 'visitors': 712700}, {'year': '1980', 'visitors': 672963}, {'year': '1990', 'visitors': 747016}, {'year': '2000', 'visitors': 469303}, {'year': '2010', 'visitors': 428524}, {'year': '2017', 'visitors': 520026}, {'year': '2018', 'visitors': 465912}, {'year': '2019', 'visitors': 440691}, {'year': '2020', 'visitors': 183835}]","{'longitude': -104.443888888, 'latitude': 32.175277777}"
